"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "Markdown", "JSON with Comments", "comment", "blank", "total"
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Badge.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 5, 36
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Button.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 5, 56
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Card.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 6, 59
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Checkbox.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 3, 2, 36
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Dialog.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 7, 102
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Divider.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 2, 24
"e:\deno-code\deno-preact-iso\libs\shadcn\components\DropdownMenu.tsx", "TypeScript JSX", 0, 129, 0, 0, 0, 0, 0, 10, 139
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Icons.tsx", "TypeScript JSX", 0, 487, 0, 0, 0, 0, 0, 8, 495
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Input.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 3, 26
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Label.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 5, 24
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 8, 72
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Sidebar.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 1, 3, 49
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Table.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\deno-code\deno-preact-iso\libs\shadcn\components\Theme.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 7, 6, 56
"e:\deno-code\deno-preact-iso\libs\shadcn\deno.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 23
"e:\deno-code\deno-preact-iso\libs\shadcn\mod.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 1, 1, 18
"e:\deno-code\deno-preact-iso\libs\shadcn\pro.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\components\ProTable.tsx", "TypeScript JSX", 0, 227, 0, 0, 0, 0, 37, 17, 281
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppBreadmun.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 1, 25
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppNavbar.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 0, 13, 10, 189
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppSidebar.tsx", "TypeScript JSX", 0, 204, 0, 0, 0, 0, 2, 17, 223
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Base.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 2, 36
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Dash.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 3, 24
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Menu.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 1, 1, 8
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Sidebar.tsx", "TypeScript JSX", 0, 200, 0, 0, 0, 0, 1, 14, 215
"e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\ThemeButton.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 3, 25
"e:\deno-code\deno-preact-iso\libs\shadcn\utils\cn.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 2, 7
"e:\deno-code\deno-preact-iso\plugins\admin\api\datasource.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 4, 22
"e:\deno-code\deno-preact-iso\plugins\admin\api\mod.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\deno-code\deno-preact-iso\plugins\admin\api\types.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"e:\deno-code\deno-preact-iso\plugins\admin\app\App.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 2, 6, 40
"e:\deno-code\deno-preact-iso\plugins\admin\app\api\mod.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\deno-code\deno-preact-iso\plugins\admin\app\client.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 0, 2, 78
"e:\deno-code\deno-preact-iso\plugins\admin\app\data\menus.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 2, 20
"e:\deno-code\deno-preact-iso\plugins\admin\app\routes.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 1, 11
"e:\deno-code\deno-preact-iso\plugins\admin\app\routes\dash\Dash.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 2, 18
"e:\deno-code\deno-preact-iso\plugins\admin\app\routes\dash\PluginManager.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 2, 7
"e:\deno-code\deno-preact-iso\plugins\admin\app\routes\home.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 6, 51
"e:\deno-code\deno-preact-iso\plugins\admin\app\routes\tasker.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\deno-code\deno-preact-iso\plugins\admin\client.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\deno-code\deno-preact-iso\plugins\admin\client.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\deno-code\deno-preact-iso\plugins\admin\client.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\deno-code\deno-preact-iso\plugins\admin\deno.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 35
"e:\deno-code\deno-preact-iso\plugins\admin\deno.lock", "JSON", 0, 0, 0, 135, 0, 0, 0, 1, 136
"e:\deno-code\deno-preact-iso\plugins\admin\orpc-client.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"e:\deno-code\deno-preact-iso\plugins\admin\plugin.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 9, 30
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\deno.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 34
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\dev.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 4, 9
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\plugin.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 8, 6, 43
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\App.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 2, 5, 35
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\Root.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 23
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\app\routes\home.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 16, 6, 53
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\client.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\routes.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 1, 2, 7
"e:\deno-code\deno-preact-iso\server\api\env.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 5, 12, 114
"e:\deno-code\deno-preact-iso\server\api\mod.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\deno-code\deno-preact-iso\server\api\plugin.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 1, 7, 49
"e:\deno-code\deno-preact-iso\server\api\types.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 2, 5
"e:\deno-code\deno-preact-iso\server\app\App.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 2, 4, 38
"e:\deno-code\deno-preact-iso\server\app\client.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 0, 2, 78
"e:\deno-code\deno-preact-iso\server\app\routes.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 2, 6
"e:\deno-code\deno-preact-iso\server\app\routes\home.tsx", "TypeScript JSX", 0, 174, 0, 0, 0, 0, 10, 10, 194
"e:\deno-code\deno-preact-iso\server\app\types\Dialect.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"e:\deno-code\deno-preact-iso\server\client.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\deno-code\deno-preact-iso\server\config.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 3, 30
"e:\deno-code\deno-preact-iso\server\db\mod.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\deno-code\deno-preact-iso\server\deno.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 48
"e:\deno-code\deno-preact-iso\server\deno.lock", "JSON", 0, 0, 0, 157, 0, 0, 0, 1, 158
"e:\deno-code\deno-preact-iso\server\manager.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\deno-code\deno-preact-iso\server\orpc-client.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 1, 2, 18
"e:\deno-code\deno-preact-iso\server\plugin.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"e:\deno-code\deno-preact-iso\server\server.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 6, 4, 82
"e:\deno-code\deno-preact-iso\server\tests\test-api.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"e:\deno-code\deno-preact-iso\tailwind.config.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 1, 71
"Total", "-", 837, 3061, 73, 1031, 7, 11, 227, 378, 5625
